user_id,session_id,prompt,timestamp
1,ea2721c8-e950-44c7-b93c-8598b98bc02f,Hello,CURRENT_TIMESTAMP
1,ce5c7007-c1f3-4560-a615-b1bc635308d5,Hello,CURRENT_TIMESTAMP
2,99f799d8-2735-4eec-8a37-e048bd4dfe4f,hi,CURRENT_TIMESTAMP
2,950e7c24-a046-4379-94f2-500d5f77c9b1,i am sad after seeing my marks,CURRENT_TIMESTAMP
2,6a84c6b8-00df-4505-984f-cde6e6489c88,i'd like to drink some vodka to forget all this,CURRENT_TIMESTAMP
2,a06e4ec1-1879-4478-8b62-b0c9547f39e2,huuh,CURRENT_TIMESTAMP
2,9f71e5d3-6ccb-4eeb-baef-02657e23d6c8,you are idiot,CURRENT_TIMESTAMP
1,6461dce0-daf9-4ec2-b647-0cf772f300f6,hi,CURRENT_TIMESTAMP
1,6046159c-052f-42f9-927d-612524017122,i am stressed for marks,CURRENT_TIMESTAMP
9,12c2c14b-2622-42e7-900a-8824880c9117,hi,CURRENT_TIMESTAMP
9,e18cca13-4372-4416-9947-04c35f5da2fc,hello,CURRENT_TIMESTAMP
9,3fb40ccd-7845-45e1-b936-a403117e3f45,hi,CURRENT_TIMESTAMP
10,2c40b4ea-daaf-45e5-bfef-1a97232318e7,HELLO,CURRENT_TIMESTAMP
15,cb5256c6-d63a-4404-b46b-704763571cb5,HELLO,CURRENT_TIMESTAMP
10,0742c8ff-9804-43a7-8a81-ce12e666b2ec,hi,CURRENT_TIMESTAMP
